Date,VFFSX,VBTIX,LPSFX,VITPX,VMCPX,VSCPX,FMGEX,FSPNX
2018-05-30,134.79260371311452,10.629146093267924,18.642436556896488,61.84616269960419,215.1746208403453,210.8048431906108,19.113922312976797,44.334392290480416
2018-05-31,133.57012118717333,10.588168954447221,18.572061863901283,62.277057977966315,212.19010420006603,216.99214318940903,18.961581666152032,44.14596956932437
2018-06-01,137.74785847142968,10.555459719428045,18.66233505946834,62.39257895133924,219.1605913061919,220.39718166811983,19.097101036449804,44.47212387775926
2018-06-04,137.114216640972,10.533773854451395,18.85442917550551,61.692627291110995,219.86970293478055,218.0797622508224,19.069409184940664,44.366032924590606
2018-06-05,137.56680723920016,10.514066257484954,18.834950737380165,61.609403341255536,218.35148114192413,220.05827473721442,19.138720237134677,43.4878960897096
2018-06-06,136.82044954181998,10.538477299826932,18.73356364699689,62.02562495756987,218.42526690468551,213.4224990653982,19.198879008972447,43.77826916523002
2018-06-07,136.0752163527511,10.48268482141905,18.756372614918142,61.65686641854187,216.80998636511433,219.23766912642847,19.201198591393755,43.43741221567229
2018-06-08,138.09001345068313,10.531495331198107,18.913598677856765,62.30531687364075,217.94773820816263,218.31403324002875,19.258584552252085,44.18491768679978
2018-06-11,137.1046874217281,10.412589772235986,18.513043530543076,62.924709847366415,218.52297653875922,218.26462659844583,19.205903892125683,43.76446589180422
2018-06-12,135.93508519168927,10.468064054748892,18.303669900356883,62.45354319936661,217.5526487790194,215.67863176341248,19.199529169048827,44.892898459218934
2018-06-13,136.5270612238105,10.339124617089553,18.65878119453648,62.751383858563905,220.00236907310136,222.9141017882625,19.324223356105154,43.941989292207964
2018-06-14,140.16976377404842,10.461018065179479,18.75826439424395,63.74163454083932,218.66014577206192,223.42179231958977,19.409506597870465,44.408906670674874
2018-06-15,137.0369628355155,10.406082640779468,18.702481515643917,62.67087183251428,222.18971049250752,223.70823306088198,19.37325638387274,43.815122464885825
2018-06-18,139.50056735454848,10.366287286540766,18.709329190542704,63.07346867992544,222.78339410489284,224.59143175209687,19.368871133731442,44.275034327409465
2018-06-19,139.47662336799849,10.417991772007504,18.810509121247048,61.49313409336117,219.7758943848835,221.19300888354624,19.579506808494063,43.71303913918306
2018-06-20,138.98537122293487,10.302674210025366,18.794444051681136,63.018667083287724,222.6031091157833,221.05437777835326,19.44392618457949,43.96720153242336
2018-06-21,136.57822431432174,10.340541124372743,18.85463183991522,63.686406587325315,212.4939759825522,217.58548283582095,19.66832647516057,43.55788130548121
2018-06-22,136.31599546365186,10.303301232484158,18.840670118304597,63.711554463623465,212.77462433466758,220.5892111757648,19.31059188376979,43.33982594547623
2018-06-25,136.48535565285886,10.375469684904072,18.78590002481813,62.05976683909465,215.85334180184265,217.60035385744848,19.556444559139944,43.22766072133066
2018-06-26,135.6206201317306,10.406450076999937,18.50349862714085,63.256620306747365,215.7532772306697,216.1290936405199,19.432868456258422,43.29640389714112
2018-06-27,135.4395182997281,10.440867103504127,18.699992555678737,62.18360566419179,213.77867842413414,215.96866421367332,19.467854695079744,43.05035780165694
