Trade_Num,Date,Symbol,Action,Quantity
0,7/5/18,VFFSX,SELL,0.1
1,7/5/18,LPSFX,SELL,0.1
2,7/5/18,VBTIX,BUY,0.025
3,7/5/18,VITPX,BUY,0.036000000000000004
4,7/5/18,VMCPX,BUY,0.032
5,7/5/18,VSCPX,BUY,0.047
6,7/5/18,FMGEX,BUY,0.047
7,7/5/18,FSPNX,BUY,0.012
8,7/5/18,VFFSX,SELL,0.1
9,7/5/18,LPSFX,SELL,0.1
10,7/5/18,VBTIX,BUY,0.025
11,7/5/18,VITPX,BUY,0.036000000000000004
12,7/5/18,VMCPX,BUY,0.032
13,7/5/18,VSCPX,BUY,0.047
14,7/5/18,FMGEX,BUY,0.047
15,7/5/18,FSPNX,BUY,0.012
16,07/05/2018,VFFSX,SELL,0.1
17,07/05/2018,LPSFX,SELL,0.1
18,07/05/2018,VBTIX,BUY,0.025
19,07/05/2018,VITPX,BUY,0.036000000000000004
20,07/05/2018,VMCPX,BUY,0.032
21,07/05/2018,VSCPX,BUY,0.047
22,07/05/2018,FMGEX,BUY,0.047
23,07/05/2018,FSPNX,BUY,0.012
24,07/05/2018,VFFSX,SELL,0.1
25,07/05/2018,LPSFX,SELL,0.1
26,07/05/2018,VBTIX,BUY,0.025
27,07/05/2018,VITPX,BUY,0.036000000000000004
28,07/05/2018,VMCPX,BUY,0.032
29,07/05/2018,VSCPX,BUY,0.047
30,07/05/2018,FMGEX,BUY,0.047
31,07/05/2018,FSPNX,BUY,0.012
32,07/05/2018,VFFSX,SELL,0.1
33,07/05/2018,LPSFX,SELL,0.1
34,07/05/2018,VBTIX,BUY,0.025
35,07/05/2018,VITPX,BUY,0.036000000000000004
36,07/05/2018,VMCPX,BUY,0.032
37,07/05/2018,VSCPX,BUY,0.047
38,07/05/2018,FMGEX,BUY,0.047
39,07/05/2018,FSPNX,BUY,0.012
40,07/05/2018,VFFSX,SELL,0.1
41,07/05/2018,LPSFX,SELL,0.1
42,07/05/2018,VBTIX,BUY,0.025
43,07/05/2018,VITPX,BUY,0.036000000000000004
44,07/05/2018,VMCPX,BUY,0.032
45,07/05/2018,VSCPX,BUY,0.047
46,07/05/2018,FMGEX,BUY,0.047
47,07/05/2018,FSPNX,BUY,0.012
48,07/05/2018,VFFSX,SELL,0.1
49,07/05/2018,LPSFX,SELL,0.1
50,07/05/2018,VBTIX,BUY,0.026
51,07/05/2018,VITPX,BUY,0.036
52,07/05/2018,VMCPX,BUY,0.032
53,07/05/2018,VSCPX,BUY,0.047
54,07/05/2018,FMGEX,BUY,0.047
55,07/05/2018,FSPNX,BUY,0.012
